name,sex
Adelaide,F
Adèle,F
Adelheid,F
Adelina,F
Adeline,F
Adolphine,F
Adrienne,F
Agathe,F
Aglae,F
Agnès,F
Aida,F
Aimée,F
Albanie,F
Alberta,F
Alberte,F
Albertine,F
Albine,F
Alexandrine,F
Alexia,F
Alexina,F
Alexine,F
Alfreda,F
Alfredine,F
Alice,F
Alida,F
Aline,F
Alix,F
Alixe,F
Alliette,F
Alphena,F
Alphonsine,F
Alzire,F
Amalie,F
Amanda,F
Amandine,F
Ambroisine,F
Amélia,F
Amélie,F
Anaïs,F
Anaise,F
Anastasie,F
André,F
Andréa,F
Andreanne,F
Andrée,F
Ange,F
Angela,F
Angèle,F
Angelina,F
Angeline,F
Angelique,F
Anita,F
Anna,F
Anne,F
Anne-Marie,F
Annette,F
Annita,F
Annoncia,F
Annonciade,F
Anthelmette,F
Anthelmine,F
Antoinette,F
Antoinise,F
Antonia,F
Antonie,F
Antonine,F
Apolline,F
Apollonie,F
Appoline,F
Appolonie,F
Argentine,F
Arlette,F
Armance,F
Armande,F
Armandine,F
Armantine,F
Arsene,F
Arthemise,F
Assomption,F
Assunta,F
Augusta,F
Augustina,F
Augustine,F
Aurélie,F
Aurore,F
Azeline,F
Azema,F
Babette,F
Baptistine,F
Barbara,F
Barbe,F
Bastienne,F
Bathilde,F
Béatrice,F
Beatrix,F
Benedicte,F
Benjamine,F
Benoite,F
Berengere,F
Bernadette,F
Bernadine,F
Bernarde,F
Bernardine,F
Bertha,F
Berthe,F
Berthilde,F
Bertille,F
Bertrande,F
Blaise,F
Blanche,F
Blandine,F
Bonaventure,F
Boniface,F
Bonne,F
Brigitte,F
Camélia,F
Camille,F
Carmele,F
Carmelite,F
Carmen,F
Caroline,F
Catherine,F
Cécile,F
Cécilia,F
Celenie,F
Celeste,F
Celestine,F
Celie,F
Celina,F
Céline,F
Celinie,F
Cesarine,F
Charline,F
Charlotte,F
Christiane,F
Christine,F
Cladie,F
Claire,F
Clara,F
Clarisse,F
Claudia,F
Claudine,F
Clelie,F
Clémence,F
Clémentine,F
Clorinde,F
Clothilde,F
Clotilde,F
Colette,F
Colombe,F
Conception,F
Constance,F
Coralie,F
Corentine,F
Cornelie,F
Daria,F
Dele,F
Delphine,F
Denise,F
Desiree,F
Didier,F
Dina,F
Dolores,F
Dominica,F
Dominique,F
Donatienne,F
Doria,F
Dorothee,F
Dorothy,F
Edith,F
Edithe,F
Edmee,F
Edmonde,F
Edwige,F
Eglantine,F
Eleonore,F
Elfriede,F
Elia,F
Eliane,F
Elina,F
Elisa,F
Elisabeth,F
Elisabethe,F
Elise,F
Elizabeth,F
Ella,F
Ellen,F
Elmire,F
Elodie,F
Eloise,F
Elsa,F
Else,F
Elvina,F
Elvire,F
Elza,F
Emelia,F
Emelie,F
Emerance,F
Emilia,F
Emilie,F
Emilienne,F
Emma,F
Emme,F
Emmelie,F
Engrace,F
Erna,F
Ernestine,F
Esperance,F
Estella,F
Estelle,F
Esther,F
Etiennette,F
Etiennise,F
Eudoxie,F
Eugenia,F
Eugénie,F
Eulalie,F
Euphemie,F
Euphrasie,F
Eusebie,F
Eva,F
Evariste,F
Eve,F
Eveline,F
Evodie,F
Ezilda,F
Fabienne,F
Fanelie,F
Fanny,F
Faustine,F
Felicia,F
Felicie,F
Felicienne,F
Felicite,F
Félix,F
Felixia,F
Ferdinande,F
Fernande,F
Fideline,F
Firmine,F
Flavie,F
Fleurine,F
Flora,F
Flore,F
Florence,F
Florentine,F
Florestine,F
Florine,F
Fortunee,F
France,F
Franceline,F
Francia,F
Francine,F
Francisca,F
François,F
Françoise,F
Frédérique,F
Frida,F
Frieda,F
Gabrielle,F
Geneviève,F
Georgette,F
Georgina,F
Georgine,F
Germaine,F
Gertrude,F
Ghislaine,F
Gilberte,F
Gisèle,F
Giselle,F
Gladie,F
Grace,F
Gracianne,F
Gracieuse,F
Gratianne,F
Guillaumette,F
Guillaumine,F
Guillemette,F
Gustavie,F
Hedwig,F
Hedwige,F
Helena,F
Hélène,F
Héloïse,F
Henria,F
Henrietta,F
Henriette,F
Hermance,F
Hermine,F
Herminie,F
Herveline,F
Hilde,F
Hildegarde,F
Honorine,F
Hortense,F
Hortensia,F
Huguette,F
Hyacinthe,F
Ida,F
Ignace,F
Inès,F
Innocente,F
Irène,F
Irenee,F
Irma,F
Isabelle,F
Isaure,F
Isbergue,F
Ismerie,F
Ivonne,F
Jacqueline,F
Jane,F
Jean,F
Jeanne,F
Jeanne-Marie,F
Jeannette,F
Jeannie,F
Jeannine,F
Jenny,F
Jeromine,F
Joanna,F
